CMDLINE /Users/macbookair/Documents/Programming/oneredboxng/venv/bin/python3 app.py
MEM 39.218750 1680699746.1269
MEM 39.218750 1680699746.2294
MEM 39.218750 1680699746.3341
MEM 39.218750 1680699746.4385
MEM 39.218750 1680699746.5433
MEM 39.218750 1680699746.6456
MEM 39.218750 1680699746.7511
MEM 39.218750 1680699746.8529
MEM 39.218750 1680699746.9559
MEM 39.218750 1680699747.0603
MEM 39.218750 1680699747.1648
MEM 39.218750 1680699747.2699
MEM 39.218750 1680699747.3740
MEM 39.218750 1680699747.4799
MEM 39.218750 1680699747.5844
MEM 39.218750 1680699747.6875
MEM 39.218750 1680699747.7916
MEM 39.218750 1680699747.8961
MEM 39.218750 1680699748.0014
MEM 39.218750 1680699748.1048
MEM 39.218750 1680699748.2102
MEM 39.218750 1680699748.3150
MEM 39.218750 1680699748.4201
MEM 39.218750 1680699748.5225
MEM 39.218750 1680699748.6235
MEM 39.218750 1680699748.7260
MEM 39.218750 1680699748.8291
MEM 39.218750 1680699748.9319
MEM 39.218750 1680699749.0359
MEM 39.218750 1680699749.1375
MEM 39.218750 1680699749.2417
MEM 39.218750 1680699749.3461
MEM 39.218750 1680699749.4500
MEM 39.218750 1680699749.5547
MEM 39.218750 1680699749.6558
MEM 39.218750 1680699749.7604
MEM 39.218750 1680699749.8658
MEM 39.218750 1680699749.9703
MEM 39.218750 1680699750.0751
MEM 39.218750 1680699750.1805
MEM 39.218750 1680699750.2818
MEM 39.218750 1680699750.3847
MEM 39.218750 1680699750.4901
MEM 39.218750 1680699750.5917
MEM 39.218750 1680699750.6938
MEM 39.218750 1680699750.7945
MEM 39.218750 1680699750.8982
MEM 39.218750 1680699750.9997
MEM 39.218750 1680699751.1007
MEM 39.218750 1680699751.2054
MEM 39.218750 1680699751.3100
MEM 39.218750 1680699751.4140
MEM 39.218750 1680699751.5163
MEM 39.218750 1680699751.6208
MEM 39.218750 1680699751.7261
MEM 39.218750 1680699751.8314
MEM 39.218750 1680699751.9367
MEM 39.218750 1680699752.0416
MEM 39.218750 1680699752.1452
MEM 39.218750 1680699752.2483
MEM 39.218750 1680699752.3522
MEM 39.218750 1680699752.4566
MEM 39.218750 1680699752.5594
MEM 39.218750 1680699752.6624
MEM 39.218750 1680699752.7667
MEM 39.218750 1680699752.8688
MEM 39.218750 1680699752.9747
MEM 39.218750 1680699753.0757
MEM 39.218750 1680699753.1806
MEM 39.218750 1680699753.2859
MEM 39.218750 1680699753.3890
MEM 39.218750 1680699753.4952
MEM 39.218750 1680699753.6002
MEM 39.218750 1680699753.7030
MEM 39.218750 1680699753.8084
MEM 39.218750 1680699753.9136
MEM 39.218750 1680699754.0195
MEM 39.218750 1680699754.1247
MEM 39.218750 1680699754.2300
MEM 39.218750 1680699754.3341
MEM 39.218750 1680699754.4383
MEM 39.218750 1680699754.5421
MEM 39.218750 1680699754.6474
MEM 39.218750 1680699754.7492
MEM 39.218750 1680699754.8507
MEM 39.218750 1680699754.9516
MEM 39.218750 1680699755.0559
MEM 39.218750 1680699755.1586
MEM 39.218750 1680699755.2626
MEM 39.218750 1680699755.3683
MEM 39.218750 1680699755.4711
MEM 39.218750 1680699755.5765
MEM 39.218750 1680699755.6792
MEM 39.218750 1680699755.7838
MEM 39.218750 1680699755.8904
MEM 39.218750 1680699755.9941
MEM 39.218750 1680699756.0989
MEM 39.218750 1680699756.2021
MEM 39.218750 1680699756.3062
MEM 39.218750 1680699756.4105
MEM 39.218750 1680699756.5170
MEM 39.218750 1680699756.6224
MEM 39.218750 1680699756.7259
MEM 39.218750 1680699756.8288
MEM 39.218750 1680699756.9342
MEM 39.218750 1680699757.0358
MEM 39.218750 1680699757.1380
MEM 39.218750 1680699757.2388
MEM 39.218750 1680699757.3421
MEM 39.218750 1680699757.4459
MEM 39.218750 1680699757.5507
MEM 39.218750 1680699757.6563
MEM 39.218750 1680699757.7594
MEM 39.218750 1680699757.8647
MEM 39.218750 1680699757.9679
MEM 39.218750 1680699758.0721
MEM 39.218750 1680699758.1769
MEM 39.218750 1680699758.2822
MEM 39.218750 1680699758.3850
MEM 39.218750 1680699758.4904
MEM 39.218750 1680699758.5960
MEM 39.218750 1680699758.6984
MEM 39.218750 1680699758.7998
MEM 39.218750 1680699758.9026
MEM 39.218750 1680699759.0068
MEM 39.218750 1680699759.1077
MEM 39.218750 1680699759.2116
MEM 39.218750 1680699759.3150
MEM 39.218750 1680699759.4194
MEM 39.218750 1680699759.5240
MEM 39.218750 1680699759.6266
MEM 39.218750 1680699759.7309
MEM 39.218750 1680699759.8328
MEM 39.218750 1680699759.9339
MEM 39.218750 1680699760.0387
MEM 39.218750 1680699760.1425
MEM 39.218750 1680699760.2460
MEM 39.218750 1680699760.3500
MEM 39.218750 1680699760.4543
MEM 39.218750 1680699760.5587
MEM 39.218750 1680699760.6632
MEM 39.218750 1680699760.7676
MEM 39.218750 1680699760.8722
MEM 39.218750 1680699760.9734
MEM 39.218750 1680699761.0783
MEM 39.218750 1680699761.1837
MEM 39.218750 1680699761.2843
MEM 39.218750 1680699761.3869
MEM 39.218750 1680699761.4908
MEM 39.218750 1680699761.5967
MEM 39.218750 1680699761.7027
MEM 39.218750 1680699761.8076
MEM 39.218750 1680699761.9136
MEM 39.218750 1680699762.0160
MEM 39.218750 1680699762.1216
MEM 39.218750 1680699762.2264
MEM 39.218750 1680699762.3303
MEM 39.218750 1680699762.4343
MEM 39.218750 1680699762.5396
MEM 39.218750 1680699762.6421
MEM 39.218750 1680699762.7472
MEM 39.218750 1680699762.8505
MEM 39.218750 1680699762.9528
MEM 39.218750 1680699763.0572
MEM 39.218750 1680699763.1618
MEM 39.218750 1680699763.2647
MEM 39.218750 1680699763.3672
MEM 39.218750 1680699763.4750
MEM 39.218750 1680699763.5777
MEM 39.218750 1680699763.6785
MEM 39.218750 1680699763.7794
MEM 39.218750 1680699763.8842
MEM 39.218750 1680699763.9867
MEM 39.218750 1680699764.0903
MEM 39.218750 1680699764.1948
MEM 39.218750 1680699764.2988
MEM 39.218750 1680699764.4032
MEM 39.218750 1680699764.5059
MEM 39.218750 1680699764.6087
MEM 39.218750 1680699764.7093
MEM 39.218750 1680699764.8101
MEM 39.218750 1680699764.9155
MEM 39.218750 1680699765.0193
MEM 39.218750 1680699765.1220
MEM 39.218750 1680699765.2247
MEM 39.218750 1680699765.3294
MEM 39.218750 1680699765.4302
MEM 39.218750 1680699765.5345
MEM 39.218750 1680699765.6383
MEM 39.218750 1680699765.7426
MEM 39.218750 1680699765.8465
MEM 39.218750 1680699765.9479
MEM 39.218750 1680699766.0486
MEM 39.218750 1680699766.1533
MEM 39.218750 1680699766.2541
MEM 39.218750 1680699766.3589
MEM 39.218750 1680699766.4617
MEM 39.218750 1680699766.5659
MEM 39.218750 1680699766.6707
MEM 39.218750 1680699766.7744
MEM 39.218750 1680699766.8798
MEM 39.218750 1680699766.9847
MEM 39.218750 1680699767.0853
MEM 39.218750 1680699767.1865
MEM 39.218750 1680699767.2875
MEM 39.218750 1680699767.3908
MEM 39.218750 1680699767.4943
MEM 39.218750 1680699767.5998
MEM 39.218750 1680699767.7026
MEM 39.218750 1680699767.8062
MEM 39.218750 1680699767.9108
MEM 39.218750 1680699768.0151
MEM 39.218750 1680699768.1182
MEM 39.218750 1680699768.2221
MEM 39.218750 1680699768.3265
MEM 39.218750 1680699768.4305
MEM 39.218750 1680699768.5320
MEM 39.218750 1680699768.6347
MEM 39.218750 1680699768.7391
MEM 39.218750 1680699768.8437
MEM 39.218750 1680699768.9470
MEM 39.218750 1680699769.0525
MEM 39.218750 1680699769.1556
MEM 39.218750 1680699769.2567
MEM 39.218750 1680699769.3592
MEM 39.218750 1680699769.4625
MEM 39.218750 1680699769.5659
MEM 39.218750 1680699769.6693
MEM 39.218750 1680699769.7746
MEM 39.218750 1680699769.8800
MEM 39.218750 1680699769.9822
MEM 39.218750 1680699770.0867
MEM 39.218750 1680699770.1913
MEM 39.218750 1680699770.2957
MEM 39.218750 1680699770.3985
MEM 39.218750 1680699770.5027
MEM 39.218750 1680699770.6036
MEM 39.218750 1680699770.7090
MEM 39.218750 1680699770.8146
MEM 39.218750 1680699770.9196
MEM 39.218750 1680699771.0251
MEM 39.218750 1680699771.1284
MEM 39.218750 1680699771.2329
MEM 39.218750 1680699771.3375
MEM 39.218750 1680699771.4389
MEM 39.218750 1680699771.5423
MEM 39.218750 1680699771.6472
MEM 39.218750 1680699771.7519
